Country,GS,RS,DS,GS,RS,DS,GS,RS,DS,GS,RS,DS
BFA,1.93,13.4,84.67,1.39,75.56,23.04,11.97,23.67,64.36,17.96,73.51,8.54
CIV,1.43,31.07,67.5,1.39,66.47,32.14,13.71,44.77,41.52,8.49,77.89,13.62
GHA,2.86,16.39,80.75,1.24,0.24,98.52,6.17,24.45,69.38,2.93,26.36,70.7
GMB,4.85,7.89,87.26,0.04,13.86,86.1,21.62,4.79,73.59,0.25,9.68,90.07
NER,0.05,67.05,32.9,1.24,76.24,22.52,18.38,55.92,25.71,10.19,83.76,6.04
NGA,2.07,2.14,95.8,1.53,26.26,72.22,13.15,3.32,83.53,0.97,81.59,17.44
SEN,0.25,4.07,95.68,0.39,85.99,13.62,10.68,12.38,76.94,6.3,81.84,11.87
TGO,0.85,50.78,48.37,0.87,32.97,66.16,19.92,40.47,39.6,9.29,59.92,30.79
